Team,Conf,HCA,HCA_Rank,PF,PF_Rank,PTS,PTS_Rank,NST,NST_Rank,Blk,Blk_Rank,Elevation,Elevation_Rank
Hampton,BSth,2.9,209,-2.8,161,4.2,275,-1.4,83,1.1,208,0,307
Binghamton,AE,2.9,210,-2.1,212,6.1,185,-1.2,108,0.8,289,900,68
Abilene Christian,Slnd,2.9,211,-0.7,324,5.2,230,-1.3,89,2.3,15,1700,33
Bethune Cookman,MEAC,2.9,212,-1.1,302,8.3,69,-0.9,157,1.8,73,0,307
Tennessee St.,OVC,2.9,213,-2.8,160,4.2,273,-1,146,0.9,259,500,166
George Mason,A10,2.9,214,-3.9,54,0,353,-1.5,60,1,251,400,185
Notre Dame,ACC,2.9,215,-2.2,204,6.6,157,-0.2,286,1.1,214,700,113
Saint Mary's,WCC,2.9,216,-1.9,235,4,285,-1.5,67,1.8,60,600,137
Pittsburgh,ACC,2.9,217,-2.4,188,3.8,295,-0.4,258,1.6,107,1100,48
Vanderbilt,SEC,2.9,218,-3.1,132,4.3,272,0.3,327,1.3,159,500,166
North Dakota,Sum,2.9,219,-1.7,254,6.8,145,-0.7,199,1.2,180,800,91
McNeese St.,Slnd,2.9,220,-2.7,167,5.4,211,-0.5,235,1.1,225,0,307
Duquesne,A10,2.9,221,-2.4,188,5,242,-0.4,249,1.2,198,800,91
Little Rock,SB,2.9,222,-2.5,183,6.7,150,-0.2,286,0.8,273,300,210
Drexel,CAA,2.9,223,-3.1,136,4,281,-0.5,242,1.1,225,100,258
Towson,CAA,2.9,224,-3.1,130,3,319,-0.5,244,1.2,176,400,185
North Carolina Central,MEAC,2.9,225,-0.9,311,8.9,44,-0.8,183,1.4,150,400,185
UMKC,WAC,2.9,226,-1.2,296,7.7,99,-0.8,172,1.3,171,900,68
VMI,SC,2.9,227,-1.7,251,6.5,160,-0.1,307,1.5,119,1000,58
Eastern Illinois,OVC,2.9,228,-2.9,151,3.5,300,-0.8,169,0.9,266,700,113
Morgan St.,MEAC,2.9,229,-2.1,211,5.2,231,-0.9,157,1.4,144,200,232
Purdue Fort Wayne,Sum,2.9,230,-2.3,195,7.2,120,-0.5,228,0.2,345,800,91
Nicholls St.,Slnd,2.9,231,-1.5,269,8.5,60,-0.9,157,0.8,273,0,307
North Florida,ASun,2.9,232,-1.1,300,8,86,-1.2,108,1.3,153,0,307
Chattanooga,SC,2.9,233,-1.6,267,6.2,177,-0.2,290,1.8,69,700,113
Ball St.,MAC,2.9,234,-2.5,175,3.2,316,-1.5,64,0.8,289,900,68
Central Michigan,MAC,2.9,235,-1.9,230,4.8,250,-1.3,92,1.1,218,800,91
Tennessee Tech,OVC,2.8,236,-1.3,288,5.2,229,-0.6,207,1.9,47,1100,48
Northwestern,B10,2.8,237,-2.5,183,4.4,267,-1,144,0.8,283,600,137
Siena,MAAC,2.8,238,-1.6,265,6.8,145,-1.2,102,1,251,100,258
Hawaii,BW,2.8,239,-2.5,187,6.5,160,-0.5,242,0.6,306,0,307
South Alabama,SB,2.8,240,-1.9,230,8.8,50,0.9,351,1.1,208,200,232
Austin Peay,OVC,2.8,241,-2.2,199,5,243,-1.8,33,0.4,328,500,166
San Diego,WCC,2.8,242,-2.2,204,3.8,291,-0.2,282,1.9,43,200,232
Samford,SC,2.8,243,-2.1,215,5.9,192,-0.1,307,1,241,700,113
FIU,CUSA,2.8,244,-2.2,199,6.4,169,0.8,350,1.5,113,0,307
Albany,AE,2.8,245,-2.5,179,3.5,303,-1.5,60,0.7,297,200,232
Morehead St.,OVC,2.8,246,-1.7,254,4.1,277,-0.3,278,1.9,47,800,91
Alcorn St.,SWAC,2.8,247,-1.6,261,9.4,34,1.6,353,1.4,150,300,210
Texas A&M Corpus Chris,Slnd,2.8,248,-2.2,199,4.9,246,-0.6,214,1.2,198,0,307
Tulane,Amer,2.8,249,-3,141,1.8,341,-1.2,116,1.1,214,0,307
Portland St.,BSky,2.7,250,-1.3,286,7,134,-0.4,252,1.2,183,200,232
Brown,Ivy,2.7,251,-1.8,243,4.1,279,-0.5,223,1.8,60,100,258
Northwestern St.,Slnd,2.7,252,-1.8,243,4.6,260,-0.7,190,1.4,135,100,258
Illinois Chicago,Horz,2.7,253,-2.1,218,6,190,-0.6,219,0.2,345,600,137
Elon,CAA,2.7,254,-2,220,4.5,262,-0.5,238,0.9,263,700,113
Cleveland St.,Horz,2.7,255,-1.3,290,6,189,-0.6,207,1.1,218,700,113
Southern,SWAC,2.7,256,-1.2,294,6.4,169,-0.3,266,1.5,111,100,258
Campbell,BSth,2.7,257,-2.5,173,4,281,-0.8,187,0.5,318,200,232
Incarnate Word,Slnd,2.7,258,-0.6,327,6.4,168,-0.5,241,1.8,64,700,113
Wofford,SC,2.7,259,-1.4,278,4.9,247,-0.3,278,1.4,128,800,91
Manhattan,MAAC,2.7,260,-1.5,269,6.5,163,-1.1,128,0.4,321,100,258
Bucknell,Pat,2.7,261,-1.2,296,6.9,143,-1.6,49,0.1,348,500,166
American,Pat,2.7,262,-2.1,212,4.8,252,-0.1,296,0.8,283,400,185
Pepperdine,WCC,2.7,263,-2.4,193,4.5,261,0.3,329,1,251,300,210
Santa Clara,WCC,2.6,264,-1.9,228,2.3,335,-1.2,98,1.5,119,100,258
Western Illinois,Sum,2.6,265,-1.7,251,6.1,182,-0.4,258,0.4,321,600,137
Maryland Eastern Shore,MEAC,2.6,266,-1.6,261,6.1,183,-0.1,296,1,241,0,307
Troy,SB,2.6,267,-1.4,280,3.3,309,-1.1,135,1.6,103,500,166
Stony Brook,AE,2.6,268,-2,222,3.3,311,-1.2,108,1,241,100,258
South Dakota,Sum,2.6,269,-0.9,315,6.5,158,0.1,322,1.3,162,1200,42
Delaware,CAA,2.6,270,-1.4,285,5.9,193,-0.6,214,1.1,225,100,258
UC Davis,BW,2.6,271,-1.8,246,6.8,145,-0.3,275,0.3,331,100,258
Alabama A&M,SWAC,2.6,272,-1.2,293,5.2,234,-0.7,193,1.1,232,700,113
